"id";"title";"slug";"acronym";"url";"organization";"organization_id";"description";"frequency";"license";"temporal_coverage.start";"temporal_coverage.end";"spatial.granularity";"spatial.zones";"private";"featured";"created_at";"last_modified";"tags";"archived";"resources_count";"harvest.backend";"harvest.domain";"harvest.created_at";"harvest.modified_at";"quality_score";"metric.discussions";"metric.reuses";"metric.followers";"metric.views"
"5387f347a3a7291cb36754a1";"Les crimes et délits enregistrés par la gendarmerie nationale";"les-crimes-et-delits-enregistres-par-la-gendarmerie-nationa-0";"";"https://www.data.gouv.fr/en/datasets/les-crimes-et-delits-enregistres-par-la-gendarmerie-nationa-0/";"Observatoire national de la délinquance et des réponses pénales (ondrp)";"534fff9aa3a7292c64a78026";"Les données des faits constatés sont fournies sous forme de tables comprenant en lignes les 107 index d'infractions de l'état statistique 4001 et en colonnes les départements et collectivités d'outre-mer.
Il s'agit des faits enregistrés par l'ensemble des unités de la gendarmerie nationale localisés au lieu de leur enregistrement.
";"monthly";"Licence Ouverte / Open Licence";"";"";"fr:departement";"France";False;False;"2014-05-28T09:32:49.643000";"2016-03-15T23:34:14.668000";"necmergitur";False;3;"";"";"";"";"0.78";4;1;2;1604
"5387f34aa3a7291cb36754a8";"Les crimes et délits enregistrés par la police nationale";"les-crimes-et-delits-enregistres-par-la-police-nationale";"";"https://www.data.gouv.fr/en/datasets/les-crimes-et-delits-enregistres-par-la-police-nationale/";"Observatoire national de la délinquance et des réponses pénales (ondrp)";"534fff9aa3a7292c64a78026";"Les données des faits constatés sont fournies sous forme de tables comprenant en lignes les 107 index d'infractions de l'état statistique 4001 et en colonnes les départements et collectivités d'outre-mer.
Il s'agit des faits enregistrés par l'ensemble des services de la police nationale localisés au lieu de leur enregistrement.
";"monthly";"Licence Ouverte / Open Licence";"2014-01-01";"2014-04-30";"fr:departement";"France";False;False;"2014-05-28T09:16:45.127000";"2016-03-02T05:33:44.085000";"";False;3;"";"";"";"";"0.89";2;1;1;3676
"5387f348a3a7291cb36754a3";"Les crimes et délits enregistrés par la gendarmerie nationale";"les-crimes-et-delits-enregistres-par-la-gendarmerie-nationale";"";"https://www.data.gouv.fr/en/datasets/les-crimes-et-delits-enregistres-par-la-gendarmerie-nationale/";"Observatoire national de la délinquance et des réponses pénales (ondrp)";"534fff9aa3a7292c64a78026";"Les données des faits constatés sont fournies sous forme de tables comprenant en lignes les 107 index d'infractions de l'état statistique 4001 et en colonnes les départements et collectivités d'outre-mer.
Il s'agit des faits enregistrés par l'ensemble des unités de la gendarmerie nationale localisés au lieu de leur enregistrement.
";"semiannual";"Licence Ouverte / Open Licence";"2013-01-01";"2013-12-31";"fr:departement";"France";False;False;"2014-05-27T16:30:14.615000";"2016-02-16T23:36:26.422000";"";False;3;"";"";"";"";"0.89";0;2;1;1676
"5387f349a3a7291cb36754a5";"Les crimes et délits enregistrés par la police nationale";"les-crimes-et-delits-enregistres-par-la-police-nationa-0";"";"https://www.data.gouv.fr/en/datasets/les-crimes-et-delits-enregistres-par-la-police-nationa-0/";"Observatoire national de la délinquance et des réponses pénales (ondrp)";"534fff9aa3a7292c64a78026";"Les données des faits constatés sont fournies sous forme de tables comprenant en lignes les 107 index d'infractions de l'état statistique 4001 et en colonnes les départements et collectivités d'outre-mer.
Il s'agit des faits enregistrés par l'ensemble des services de la police nationale localisés au lieu de leur enregistrement.
";"semiannual";"Licence Ouverte / Open Licence";"2013-01-01";"2013-12-21";"fr:departement";"France";False;False;"2014-05-27T15:48:05.463000";"2016-03-14T10:32:26.660000";"";False;3;"";"";"";"";"0.89";2;2;1;2709
"5387eafca3a7291cb3675498";"Crimes et délits constatés par la police nationale en 2013";"crimes-et-delits-constates-par-la-police-nationale-en-2013";"";"https://www.data.gouv.fr/en/datasets/crimes-et-delits-constates-par-la-police-nationale-en-2013/";"Observatoire national de la délinquance et des réponses pénales (ondrp)";"534fff9aa3a7292c64a78026";"Les données des faits constatés sont fournies sous forme de tables comprenant en lignes les 107 index d'infractions de l'état statistique 4001 et en colonnes les départements et collectivités d'outre-mer.
Il s'agit des faits enregistrés par l'ensemble des services de la police nationale localisés au lieu de leur enregistrement.
";"semiannual";"Licence Ouverte / Open Licence";"2013-01-01";"2013-12-31";"fr:departement";"";False;False;"2014-05-27T15:19:04.259000";"2016-02-20T21:34:19.853000";"";False;2;"";"";"";"";"0.78";0;0;0;1235
"53699577a3a729239d204720";"Faits constatés Zone Gendarmerie";"faits-constates-zone-gendarmerie-00000000";"";"https://www.data.gouv.fr/en/datasets/faits-constates-zone-gendarmerie-00000000/";"Observatoire national de la délinquance et des réponses pénales (ondrp)";"534fff9aa3a7292c64a78026";"Faits Constatés en 2012 zone gendarmerie";"monthly";"Licence Ouverte / Open Licence";"2012-01-01";"2012-01-31";"fr:departement";"France";False;False;"2013-08-16T18:14:40.972000";"2016-02-28T10:36:29.685000";"crimes,delinquance,delits,faits-constates,gendarmerie";False;33;"";"";"";"";"0.67";0;1;2;1369
"53699576a3a729239d20471b";"Faits constatés mensuels par départements";"faits-constates-mensuels-par-departements";"";"https://www.data.gouv.fr/en/datasets/faits-constates-mensuels-par-departements/";"Observatoire national de la délinquance et des réponses pénales (ondrp)";"534fff9aa3a7292c64a78026";"Faits constatés mensuels par département en 2012";"annual";"Licence Ouverte / Open Licence";"2012-01-01";"2012-12-31";"fr:departement";"France";False;False;"2013-08-16T18:04:48.749000";"2016-03-15T17:33:23.567000";"crime,delinquance,delit,faits-constates";False;31;"";"";"";"";"0.78";0;2;1;1650
"53699578a3a729239d204722";"Faits constatés Zone Police";"faits-constates-zone-police-00000000";"";"https://www.data.gouv.fr/en/datasets/faits-constates-zone-police-00000000/";"Observatoire national de la délinquance et des réponses pénales (ondrp)";"534fff9aa3a7292c64a78026";"Faits constatés en 2012 zone police";"monthly";"Licence Ouverte / Open Licence";"2012-01-01";"2012-01-31";"fr:departement";"France";False;False;"2013-08-16T18:00:47.003000";"2016-02-25T09:34:14.306000";"criminalite,faits-constates,infractions,police";False;35;"";"";"";"";"0.78";0;2;3;1406
"53699575a3a729239d20471a";"Faits constatés annuels par index 4001 pour les services centraux";"faits-constates-annuels-par-index-4001-pour-les-services-centraux-00000000";"";"https://www.data.gouv.fr/en/datasets/faits-constates-annuels-par-index-4001-pour-les-services-centraux-00000000/";"Observatoire national de la délinquance et des réponses pénales (ondrp)";"534fff9aa3a7292c64a78026";"";"annual";"Licence Ouverte / Open Licence";"1996-01-01";"2011-12-31";"other";"France";False;False;"2013-08-16T17:41:49.995000";"2016-01-09T13:34:25.945000";"";False;49;"";"";"";"";"0.78";0;0;0;1177
"53699576a3a729239d20471d";"Faits constatés par département, par index et par mois";"faits-constates-par-departement-par-index-et-par-mois";"";"https://www.data.gouv.fr/en/datasets/faits-constates-par-departement-par-index-et-par-mois/";"Observatoire national de la délinquance et des réponses pénales (ondrp)";"534fff9aa3a7292c64a78026";"Faits constatés par département, par index et par mois";"annual";"Licence Ouverte / Open Licence";"1996-01-01";"2011-12-31";"fr:departement";"France";False;False;"2013-08-16T17:25:01.304000";"2015-12-19T23:34:00.160000";"criminalite,faits-constates,police,police-gendarmerie-crime-delits";False;49;"";"";"";"";"0.78";0;0;0;1133
"53699577a3a729239d20471e";"Faits constatés par index, par département et par année";"faits-constates-par-index-par-departement-et-par-annee";"";"https://www.data.gouv.fr/en/datasets/faits-constates-par-index-par-departement-et-par-annee/";"Observatoire national de la délinquance et des réponses pénales (ondrp)";"534fff9aa3a7292c64a78026";"ensemble des faits constatés par les services de police et les unités de gendarmerie nationales par département de 1996 à 2011";"annual";"Licence Ouverte / Open Licence";"1996-01-01";"2011-12-31";"fr:departement";"France";False;False;"2013-07-08T18:17:01.303000";"2016-03-10T08:34:08.891000";"crimes,crimes-et-delits,delinquance,faits-constates";False;18;"";"";"";"";"0.67";2;4;5;2247
"53699202a3a729239d203dea";"Crimes et délits enregistrés par les services de police et les unités de gendarmerie";"crimes-et-delits-enregistres-par-les-services-de-police-et-les-unites-de-gendarmerie-571598";"";"https://www.data.gouv.fr/en/datasets/crimes-et-delits-enregistres-par-les-services-de-police-et-les-unites-de-gendarmerie-571598/";"Observatoire national de la délinquance et des réponses pénales (ondrp)";"534fff9aa3a7292c64a78026";"Crimes et délits enregistrés en France métropolitaine par les services de police et les unités de gendarmeire";"annual";"Licence Ouverte / Open Licence";"2012-12-01";"2012-12-31";"other";"";False;False;"2013-07-08T15:35:11.288000";"2015-12-23T23:33:25.922000";"";False;3;"";"";"";"";"0.67";0;0;0;1120
